time,event_type,description
8947.799987792969,MINIBUS_IDLE,MINIBUS_2 completed route plan at 8589271
9000,OPTIMIZER_CALL,"Optimizer: 19 pending minibus passengers, 19 assigned"
9146.400024414062,MINIBUS_IDLE,MINIBUS_2 completed route plan at 8589271
9290.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62600.0 completed route, served 26 passengers"
9300,OPTIMIZER_CALL,"Optimizer: 23 pending minibus passengers, 20 assigned"
9310.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62621.0 completed route, served 55 passengers"
9530.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66393.0 completed route, served 36 passengers"
9581.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62625.0 completed route, served 22 passengers"
9600,OPTIMIZER_CALL,"Optimizer: 22 pending minibus passengers, 20 assigned"
9641.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66390.0 completed route, served 33 passengers"
9900,OPTIMIZER_CALL,"Optimizer: 27 pending minibus passengers, 20 assigned"
10200,OPTIMIZER_CALL,"Optimizer: 30 pending minibus passengers, 20 assigned"
10206.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62612.0 completed route, served 32 passengers"
10228.200012207031,MINIBUS_IDLE,MINIBUS_1 completed route plan at 8589271
10269.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62633.0 completed route, served 39 passengers"
10288.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66401.0 completed route, served 19 passengers"
10500,OPTIMIZER_CALL,"Optimizer: 35 pending minibus passengers, 20 assigned"
10511.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62639.0 completed route, served 24 passengers"
10626.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66398.0 completed route, served 27 passengers"
10726.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62626.0 completed route, served 18 passengers"
10800,OPTIMIZER_CALL,"Optimizer: 32 pending minibus passengers, 20 assigned"
10930.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62653.0 completed route, served 26 passengers"
11100,OPTIMIZER_CALL,"Optimizer: 31 pending minibus passengers, 20 assigned"
11285.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66409.0 completed route, served 22 passengers"
11378.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62630.0 completed route, served 28 passengers"
11400,OPTIMIZER_CALL,"Optimizer: 30 pending minibus passengers, 20 assigned"
11421.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66406.0 completed route, served 15 passengers"
11581.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62657.0 completed route, served 28 passengers"
11700,OPTIMIZER_CALL,"Optimizer: 30 pending minibus passengers, 20 assigned"
12000,OPTIMIZER_CALL,"Optimizer: 37 pending minibus passengers, 20 assigned"
12019.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66417.0 completed route, served 38 passengers"
12131.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62638.0 completed route, served 11 passengers"
12149.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62665.0 completed route, served 23 passengers"
12300,OPTIMIZER_CALL,"Optimizer: 35 pending minibus passengers, 20 assigned"
12304.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62644.0 completed route, served 21 passengers"
12313.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62671.0 completed route, served 23 passengers"
12600,OPTIMIZER_CALL,"Optimizer: 36 pending minibus passengers, 20 assigned"
12693.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62685.0 completed route, served 2 passengers"
12712.800018310547,MINIBUS_IDLE,MINIBUS_2 completed route plan at 8589271
12900,OPTIMIZER_CALL,"Optimizer: 32 pending minibus passengers, 20 assigned"
12915.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62652.0 completed route, served 30 passengers"
12976.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66425.0 completed route, served 39 passengers"
13200,OPTIMIZER_CALL,"Optimizer: 36 pending minibus passengers, 20 assigned"
13269.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62683.0 completed route, served 63 passengers"
13389.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66422.0 completed route, served 20 passengers"
13457.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62656.0 completed route, served 20 passengers"
13500,OPTIMIZER_CALL,"Optimizer: 32 pending minibus passengers, 20 assigned"
13800,OPTIMIZER_CALL,"Optimizer: 39 pending minibus passengers, 20 assigned"
13858.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66433.0 completed route, served 30 passengers"
13928.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66430.0 completed route, served 22 passengers"
13947.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62664.0 completed route, served 37 passengers"
14065.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62693.0 completed route, served 34 passengers"
14100,OPTIMIZER_CALL,"Optimizer: 41 pending minibus passengers, 20 assigned"
14400,OPTIMIZER_CALL,"Optimizer: 41 pending minibus passengers, 20 assigned"
14442.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62676.0 completed route, served 26 passengers"
14532.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62701.0 completed route, served 36 passengers"
14700,OPTIMIZER_CALL,"Optimizer: 46 pending minibus passengers, 20 assigned"
14914.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66441.0 completed route, served 40 passengers"
14952.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62709.0 completed route, served 22 passengers"
15000,OPTIMIZER_CALL,"Optimizer: 41 pending minibus passengers, 20 assigned"
15011.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66438.0 completed route, served 36 passengers"
15300,OPTIMIZER_CALL,"Optimizer: 33 pending minibus passengers, 20 assigned"
15600,OPTIMIZER_CALL,"Optimizer: 30 pending minibus passengers, 20 assigned"
15611.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66449.0 completed route, served 28 passengers"
15661.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62690.0 completed route, served 47 passengers"
15846.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66446.0 completed route, served 24 passengers"
15900,OPTIMIZER_CALL,"Optimizer: 38 pending minibus passengers, 20 assigned"
16200,OPTIMIZER_CALL,"Optimizer: 33 pending minibus passengers, 20 assigned"
16301.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62702.0 completed route, served 19 passengers"
16488.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62731.0 completed route, served 83 passengers"
16500,OPTIMIZER_CALL,"Optimizer: 30 pending minibus passengers, 20 assigned"
16505.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66457.0 completed route, served 20 passengers"
16763.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62737.0 completed route, served 23 passengers"
16773.599975585938,MINIBUS_IDLE,MINIBUS_2 completed route plan at 8589271
16791.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66454.0 completed route, served 20 passengers"
16800,OPTIMIZER_CALL,"Optimizer: 32 pending minibus passengers, 20 assigned"
17029.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62743.0 completed route, served 0 passengers"
17080.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62710.0 completed route, served 21 passengers"
17100,OPTIMIZER_CALL,"Optimizer: 33 pending minibus passengers, 20 assigned"
17230.79999923706,MINIBUS_IDLE,MINIBUS_2 completed route plan at 8589141
17302.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62716.0 completed route, served 12 passengers"
17400,OPTIMIZER_CALL,"Optimizer: 30 pending minibus passengers, 20 assigned"
17547.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66462.0 completed route, served 12 passengers"
17607.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66465.0 completed route, served 31 passengers"
17632.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62747.0 completed route, served 43 passengers"
17700,OPTIMIZER_CALL,"Optimizer: 27 pending minibus passengers, 20 assigned"
18000,OPTIMIZER_CALL,"Optimizer: 32 pending minibus passengers, 20 assigned"
18038.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62726.0 completed route, served 26 passengers"
18087.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62757.0 completed route, served 18 passengers"
18265.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66473.0 completed route, served 25 passengers"
18286.79997253418,MINIBUS_IDLE,MINIBUS_1 completed route plan at 8589271
18300,OPTIMIZER_CALL,"Optimizer: 12 pending minibus passengers, 12 assigned"
18409.79999923706,MINIBUS_IDLE,MINIBUS_1 completed route plan at 8589158
18533.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66470.0 completed route, served 16 passengers"
18600,OPTIMIZER_CALL,"Optimizer: 0 pending minibus passengers, 0 assigned"
18767.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62763.0 completed route, served 41 passengers"
18796.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62734.0 completed route, served 29 passengers"
18900,OPTIMIZER_CALL,"Optimizer: 0 pending minibus passengers, 0 assigned"
18945.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62775.0 completed route, served 0 passengers"
19200,OPTIMIZER_CALL,"Optimizer: 0 pending minibus passengers, 0 assigned"
19250.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66481.0 completed route, served 15 passengers"
19442.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66478.0 completed route, served 3 passengers"
19500,OPTIMIZER_CALL,"Optimizer: 0 pending minibus passengers, 0 assigned"
19602.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62744.0 completed route, served 14 passengers"
19620.0,MINIBUS_IDLE,MINIBUS_2 completed route plan at 8589130
19626.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62777.0 completed route, served 17 passengers"
19800,OPTIMIZER_CALL,"Optimizer: 0 pending minibus passengers, 0 assigned"
20100,OPTIMIZER_CALL,"Optimizer: 0 pending minibus passengers, 0 assigned"
20127.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66489.0 completed route, served 5 passengers"
20354.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66486.0 completed route, served 0 passengers"
20400,OPTIMIZER_CALL,"Optimizer: 0 pending minibus passengers, 0 assigned"
20505.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62754.0 completed route, served 0 passengers"
20547.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62785.0 completed route, served 0 passengers"
20700,OPTIMIZER_CALL,"Optimizer: 0 pending minibus passengers, 0 assigned"
21000,OPTIMIZER_CALL,"Optimizer: 0 pending minibus passengers, 0 assigned"
21049.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66497.0 completed route, served 0 passengers"
21273.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66494.0 completed route, served 0 passengers"
21300,OPTIMIZER_CALL,"Optimizer: 0 pending minibus passengers, 0 assigned"
21459.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62793.0 completed route, served 0 passengers"
21464.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62764.0 completed route, served 0 passengers"
21600.0,SIMULATION_END,"Simulation completed: 3803 arrived, 0 abandoned out of 3803 total passengers"
